ID	Gene.Symbol
IGL	CGC
IKBKB	CGC
IKZF1	CGC
IKZF3	CGC
IL2	CGC
IL21R	CGC
IL6ST	CGC
IL7R	CGC
IRF4	CGC
IRS4	CGC
ISX	CGC
ITGAV	CGC
ITK	CGC
JAK1	CGC
JAK2	CGC
JAK3	CGC
JAZF1	CGC
JUN	CGC
KAT6A	CGC
KAT6B	CGC
KAT7	CGC
KCNJ5	CGC
KDM5A	CGC
KDM5C	CGC
KDM6A	CGC
KDR	CGC
KDSR	CGC
KEAP1	CGC
KIAA1549	CGC
KIF5B	CGC
KIT	CGC
KLF4	CGC
KLF6	CGC
KLK2	CGC
KMT2A	CGC
KMT2C	CGC
KMT2D	CGC
KNL1	CGC
KNSTRN	CGC
KRAS	CGC
KTN1	CGC
LARP4B	CGC
LASP1	CGC
LATS1	CGC
LATS2	CGC
LCK	CGC
LCP1	CGC
LEF1	CGC
LEPROTL1	CGC
LHFPL6	CGC
LIFR	CGC
LMNA	CGC
LMO1	CGC
LMO2	CGC
LPP	CGC
LRIG3	CGC
LRP1B	CGC
LSM14A	CGC
LYL1	CGC
LYN	CGC
LZTR1	CGC
MACC1	CGC
MAF	CGC
MAFB	CGC
MALAT1	CGC
MALT1	CGC
MAML2	CGC
MAP2K1	CGC
MAP2K2	CGC
MAP2K4	CGC
MAP3K1	CGC
MAP3K13	CGC
MAPK1	CGC
MAX	CGC
MB21D2	CGC
MDM2	CGC
MDM4	CGC
MDS2	CGC
MECOM	CGC
MED12	CGC
MEN1	CGC
MET	CGC
MGMT	CGC
MITF	CGC
MLF1	CGC
MLH1	CGC
MLLT1	CGC
MLLT10	CGC
MLLT11	CGC
MLLT3	CGC
MLLT6	CGC
MN1	CGC
MNX1	CGC
MPL	CGC
MRTFA	CGC
MSH2	CGC
MSH6	CGC
MSI2	CGC
MSN	CGC
MTCP1	CGC
MTOR	CGC
MUC1	CGC
MUC16	CGC
MUC4	CGC
MUTYH	CGC
MYB	CGC
MYC	CGC
MYCL	CGC
MYCN	CGC
MYD88	CGC
MYH11	CGC
MYH9	CGC
MYO5A	CGC
MYOD1	CGC
N4BP2	CGC
NAB2	CGC
NACA	CGC
NBEA	CGC
NBN	CGC
NCKIPSD	CGC
NCOA1	CGC
NCOA2	CGC
NCOA4	CGC
NCOR1	CGC
NCOR2	CGC
NDRG1	CGC
NF1	CGC
NF2	CGC
NFATC2	CGC
NFE2L2	CGC
NFIB	CGC
NFKB2	CGC
NFKBIE	CGC
NIN	CGC
NKX2-1	CGC
NONO	CGC
NOTCH1	CGC
NOTCH2	CGC
NPM1	CGC
NR4A3	CGC
NRAS	CGC
NRG1	CGC
NSD1	CGC
NSD2	CGC
NSD3	CGC
NT5C2	CGC
NTHL1	CGC
NTRK1	CGC
NTRK2	CGC
NTRK3	CGC
NUMA1	CGC
NUP214	CGC
NUP98	CGC
NUTM1	CGC
NUTM2B	CGC
NUTM2D	CGC
OLIG2	CGC
OMD	CGC
P2RY8	CGC
PABPC1	CGC
PAFAH1B2	CGC
PALB2	CGC
PATZ1	CGC
PAX3	CGC
PAX5	CGC
PAX7	CGC
PAX8	CGC
PBRM1	CGC
PBX1	CGC
PCBP1	CGC
PCM1	CGC
PDCD1LG2	CGC
PDE4DIP	CGC
PDGFB	CGC
PDGFRA	CGC
PDGFRB	CGC
PER1	CGC
PHF6	CGC
PHOX2B	CGC
PICALM	CGC
PIK3CA	CGC
PIK3CB	CGC
PIK3R1	CGC
PIM1	CGC
PLAG1	CGC
PLCG1	CGC
PML	CGC
PMS1	CGC
PMS2	CGC
POLD1	CGC
POLE	CGC
POLG	CGC
POLQ	CGC
POLR2A	CGC
POT1	CGC
POU2AF1	CGC
POU5F1	CGC
PPARG	CGC
PPFIBP1	CGC
PPM1D	CGC
PPP2R1A	CGC
PPP6C	CGC
